source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
231123_100amolSPT_HeLa_iRT_EcUM2_FTFT_Pepsep25_75min_1_PRM_2	Escherichia coli	Not available	1	231123_100amolSPT_HeLa_iRT_EcUM2_FTFT_Pepsep25_75min_1_PRM_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231123_100amolSPT_HeLa_iRT_EcUM2_FTFT_Pepsep25_75min_1_PRM_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240328_2492_EcUM2_FTFT_Pepsep25_75min_PRM_7_2	Escherichia coli	Not available	1	240328_2492_EcUM2_FTFT_Pepsep25_75min_PRM_7_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240328_2492_EcUM2_FTFT_Pepsep25_75min_PRM_7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240109_2472_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5	Escherichia coli	Not available	1	240109_2472_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240109_2472_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M4	Escherichia coli	Not available	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_4_1	Escherichia coli	Not available	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_4_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M1	Escherichia coli	Not available	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_5_M1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_6_2	Escherichia coli	Not available	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_6_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240306_SPT_ecoli_2fmol_EcUM2_FTFT_Pepsep25_75min_PRM_2	Escherichia coli	Not available	1	240306_SPT_ecoli_2fmol_EcUM2_FTFT_Pepsep25_75min_PRM_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240306_SPT_ecoli_2fmol_EcUM2_FTFT_Pepsep25_75min_PRM_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_7_1	Escherichia coli	Not available	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_7_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_1_2	Escherichia coli	Not available	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_1_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240328_2492_EcUM2_FTFT_Pepsep25_90min_DIA_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_1_M3	Escherichia coli	Not available	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_1_M3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231207_2465_EcUM2_FTFT_Pepsep25_75min_4ul_PRM_1_M3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5	Escherichia coli	Not available	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_2_PRM_pred1	Escherichia coli	Not available	1	241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_2_PRM_pred1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_2_PRM_pred1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_3_PRM_pred3	Escherichia coli	Not available	1	241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_3_PRM_pred3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	241003_EcUM23_PeFranco_FTFT_Pepsep25_75min_3_PRM_pred3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_10_2	Escherichia coli	Not available	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_10_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_10_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_12_2	Escherichia coli	Not available	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_12_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	231128_2465_EcUM2_FTFT_Pepsep25_90min_4ul_DIA_12_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
240711_SPT_ecoli_5amol_EcUM3_FTFT_Pepsep25_75min_DIA_1	Escherichia coli	Not available	1	240711_SPT_ecoli_5amol_EcUM3_FTFT_Pepsep25_75min_DIA_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	240711_SPT_ecoli_5amol_EcUM3_FTFT_Pepsep25_75min_DIA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
