source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Escherichia coli 1	Escherichia coli	cell	not available	1	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B1T2_06.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 2	Escherichia coli	cell	not available	1	not available	Reactive cysteine analysis	proteomic profiling by mass spectrometry	1	TABLE_S1_TAB_Peptide_isoTOP_ABPP_COLUMN_B2T2.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 3	Escherichia coli	cell	not available	1	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B1T1_01.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 4	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T2_05.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 5	Escherichia coli	cell	not available	1	not available	Reactive cysteine analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Peptide_isoTOP_ABPP_COLUMN_B2T1.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 6	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S3_TAB_Protein_ReDiMe_COLUMN_B2T2_06.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 7	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T1_03.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 8	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T1_01.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 9	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S1_TAB_Protein_ReDiMe_COLUMN_B2T1_02.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Escherichia coli 10	Escherichia coli	cell	not available	2	not available	Protein abundance analysis	proteomic profiling by mass spectrometry	1	TABLE_S2_TAB_Protein_ReDiMe_COLUMN_B2T2_03.raw	v1.1.0	Data-dependent acquisition	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=ms-proteomics;VV=v1.1.0
