source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b10_5_eb07433	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b10_5_eb07433	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b10_5_eb07433.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b10_5_eb07433.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b5_10_eb07340	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b5_10_eb07340	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b5_10_eb07340.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b5_10_eb07340.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b3_2_eb07407	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b3_2_eb07407	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b3_2_eb07407.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b3_2_eb07407.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a1_21_eb07482	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a1_21_eb07482	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a1_21_eb07482.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a1_21_eb07482.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b5_5_eb07335_20220826075544	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b5_5_eb07335_20220826075544	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b5_5_eb07335_20220826075544.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b5_5_eb07335_20220826075544.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b4_11_eb07319	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b4_11_eb07319	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b4_11_eb07319.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b4_11_eb07319.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a4_2_eb05807	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a4_2_eb05807	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a4_2_eb05807.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a4_2_eb05807.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a6_16_ec05768_20220919175058	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a6_16_ec05768_20220919175058	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a6_16_ec05768_20220919175058.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a6_16_ec05768_20220919175058.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a9_3_ec04400	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a9_3_ec04400	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a9_3_ec04400.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a9_3_ec04400.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
e1_eb02979	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	e1_eb02979	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	e1_eb02979.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/e1_eb02979.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
