source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
VK_120517_Donor2_SCX-150	Homo sapiens	not available	not applicable	not available	1	VK_120517_Donor2_SCX-150	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_Donor2_SCX-150.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_Donor2_SCX-150.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121011VK_CK2_Run1	Homo sapiens	not available	not applicable	not available	1	121011VK_CK2_Run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	121011VK_CK2_Run1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/121011VK_CK2_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120517_HF2_SCX-FT	Homo sapiens	not available	not applicable	not available	1	VK_120517_HF2_SCX-FT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_HF2_SCX-FT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_HF2_SCX-FT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120517_HF3_SCX-FT	Homo sapiens	not available	not applicable	not available	1	VK_120517_HF3_SCX-FT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_HF3_SCX-FT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_HF3_SCX-FT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120517_HF3_TiO2	Homo sapiens	not available	not applicable	not available	1	VK_120517_HF3_TiO2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_HF3_TiO2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_HF3_TiO2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120517_HF2_SCX-150	Homo sapiens	not available	not applicable	not available	1	VK_120517_HF2_SCX-150	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_HF2_SCX-150.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_HF2_SCX-150.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120517_Donor2_SCX-40	Homo sapiens	not available	not applicable	not available	40	VK_120517_Donor2_SCX-40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120517_Donor2_SCX-40.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120517_Donor2_SCX-40.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_HF1_1	Homo sapiens	not available	not applicable	not available	1	VK_HF1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_HF1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_HF1_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_120413_HF_SCX-40	Homo sapiens	not available	not applicable	not available	40	VK_120413_HF_SCX-40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_120413_HF_SCX-40.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_120413_HF_SCX-40.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
VK_HF4_2	Homo sapiens	not available	not applicable	not available	2	VK_HF4_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	VK_HF4_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/05/PXD000158/VK_HF4_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
