source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	20190424_BioRep_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2	1	20190424_BioRep_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	3	1	20190424_BioRep_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4	1	20190424_BioRep_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	5	1	20190424_BioRep_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r1	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	1	20190424_BioRep_1_6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	6	1	20190424_BioRep_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r2	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	2	20190424_BioRep_2_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	20190424_BioRep_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r2	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	2	20190424_BioRep_2_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	2	1	20190424_BioRep_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r2	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	2	20190424_BioRep_2_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	3	1	20190424_BioRep_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
T89_dormant_bud_LB_r2	Populus tremula x Populus tremuloides	terminal bud	plant cell	normal	sporophyte dormant stage	T89	glasshouse; dormant buds after 9 weeks short day (10 h); clone T89	untreated (dormancy-inducing short days)	organism part	study sample	2	20190424_BioRep_2_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	4	1	20190424_BioRep_2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	terminal bud
