source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2020-06-10_P21_HEW3-ES	2020-06-10_P21_HEW3-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P21_HEW3-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P21_HEW3-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P22_HEW6-ES	2020-06-10_P22_HEW6-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P22_HEW6-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P22_HEW6-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P23_HEW6-PA	2020-06-10_P23_HEW6-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P23_HEW6-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P23_HEW6-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P27_HEW2-PA	2020-06-10_P27_HEW2-PA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P27_HEW2-PA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P27_HEW2-PA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P28_HEW7-DGL	2020-06-10_P28_HEW7-DGL	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P28_HEW7-DGL	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P28_HEW7-DGL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P2_HEW4-LA	2020-06-10_P2_HEW4-LA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P2_HEW4-LA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P2_HEW4-LA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P31_HEW1-LA	2020-06-10_P31_HEW1-LA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P31_HEW1-LA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P31_HEW1-LA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P32_HEW2-KB	2020-06-10_P32_HEW2-KB	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P32_HEW2-KB	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P32_HEW2-KB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P33_HEW1-BI	2020-06-10_P33_HEW1-BI	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P33_HEW1-BI	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P33_HEW1-BI.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P34_HEW12-DGL	2020-06-10_P34_HEW12-DGL	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P34_HEW12-DGL	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P34_HEW12-DGL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P37_HEW6-BI	2020-06-10_P37_HEW6-BI	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P37_HEW6-BI	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P37_HEW6-BI.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P39_HEW12-KB	2020-06-10_P39_HEW12-KB	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P39_HEW12-KB	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P39_HEW12-KB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P40_HEW9-DGL	2020-06-10_P40_HEW9-DGL	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P40_HEW9-DGL	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P40_HEW9-DGL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P41_HEW8-LA	2020-06-10_P41_HEW8-LA	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P41_HEW8-LA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P41_HEW8-LA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P43_HEW6-DGL	2020-06-10_P43_HEW6-DGL	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P43_HEW6-DGL	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P43_HEW6-DGL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P44_HEW5-AH	2020-06-10_P44_HEW5-AH	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P44_HEW5-AH	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P44_HEW5-AH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P46_HEW7-AH	2020-06-10_P46_HEW7-AH	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P46_HEW7-AH	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P46_HEW7-AH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P47_HEW2-AH	2020-06-10_P47_HEW2-AH	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P47_HEW2-AH	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P47_HEW2-AH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P48_HEW5-KB	2020-06-10_P48_HEW5-KB	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P48_HEW5-KB	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P48_HEW5-KB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P4_HEW11-ES	2020-06-10_P4_HEW11-ES	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P4_HEW11-ES	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P4_HEW11-ES.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
2020-06-10_P51_HEW3-AH	2020-06-10_P51_HEW3-AH	Basidiomycota sp.	Wood	not applicable	not available	Enzymatic_machinery_of_wood-inhabiting_fungi_that_degrade_temperate_tree_species	Wood	Wood	6.8, 0.01	not available	not available	not available	1	2020-06-10_P51_HEW3-AH	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2020-06-10_P51_HEW3-AH.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Wood
