source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
20151203_TC_Q1_colQ1-14_Hommel_D4-Ae1	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D4-Ae2	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D4-Ae3	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ae3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D4-Ana1	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D4-Ana2	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D4-Ana3	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D4-Ana3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D6-Ae1	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D6-Ae2	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D6-Ae3	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ae3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
20151203_TC_Q1_colQ1-14_Hommel_D6-Ana1	Cryptococcus neoformans	not available	cryptococcosis	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ana1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20151203_TC_Q1_colQ1-14_Hommel_D6-Ana1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cryptococcosis
