source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
48h_biological2_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	48h_biological2_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	48h_biological2_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/48h_biological2_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
1min_biological1_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	1min_biological1_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1min_biological1_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/1min_biological1_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
36h_biological2_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	36h_biological2_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	36h_biological2_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/36h_biological2_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
10min_biological1_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	10min_biological1_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	10min_biological1_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/10min_biological1_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
36h_biological1_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	36h_biological1_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	36h_biological1_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/36h_biological1_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
24h_biological1_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	24h_biological1_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	24h_biological1_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/24h_biological1_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
36h_biological3_run1	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	36h_biological3_run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	36h_biological3_run1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/36h_biological3_run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
1h_biological2_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	1h_biological2_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	1h_biological2_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/1h_biological2_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
36h_biological3_run2	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	36h_biological3_run2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	36h_biological3_run2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/36h_biological3_run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
5min_biological1_run1	Homo sapiens	Epithelial cell	not applicable	Lung adenocarcinoma	1	5min_biological1_run1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5min_biological1_run1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000696/5min_biological1_run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
