source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293T_POLR3G_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3G	1	22-213-KVB-Ruiying-3G-c-flag-1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3G-c-flag-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3G
HEK293T_POLR3G_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3G	2	22-213-KVB-Ruiying-3G-c-flag-2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3G-c-flag-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3G
HEK293T_POLR3G_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3G	3	22-213-KVB-Ruiying-3G-c-flag-3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3G-c-flag-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3G
HEK293T_POLR3GL_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3GL	1	22-213-KVB-Ruiying-3GL-c-flag-1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3GL-c-flag-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3GL
HEK293T_POLR3GL_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3GL	2	22-213-KVB-Ruiying-3GL-c-flag-2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3GL-c-flag-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3GL
HEK293T_POLR3GL_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3GL	3	22-213-KVB-Ruiying-3GL-c-flag-3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-3GL-c-flag-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3GL
HEK293T_POLR3C_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3C	1	22-213-KVB-Ruiying-c-flag-3C-1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-c-flag-3C-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3C
HEK293T_POLR3C_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3C	2	22-213-KVB-Ruiying-c-flag-3C-2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-c-flag-3C-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3C
HEK293T_POLR3C_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-POLR3C	3	22-213-KVB-Ruiying-c-flag-3C-3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-c-flag-3C-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-POLR3C
HEK293T_eGFP_FLAG	Homo sapiens	kidney	epithelial cell	normal	HEK293T	CVCL_0063	HEK293T	cell line	study sample	not available	female	not available	fetal stage	Flag-eGFP control	1	22-213-KVB-Ruiying-c-flagGFP-1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.6 Da	1	1	22-213-KVB-Ruiying-c-flagGFP-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Flag-eGFP control
