source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[passage number]	characteristics[treatment]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD068124-sample-1	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	1	MOLM-MEN-A1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO265.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-2	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	2	MOLM-MEN-A2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO266.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-3	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	3	MOLM-MEN-A3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO267.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-4	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	1	MOLM-MEN-GFP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO268.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-5	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	2	MOLM-MEN-GFP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO269.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-6	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	untreated	immunoprecipitation	3	MOLM-MEN-GFP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO270.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	untreated
PXD068124-sample-7	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	VTP-50469	immunoprecipitation	1	MOLM-MEN-VTP-A1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO271.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	VTP-50469
PXD068124-sample-8	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	VTP-50469	immunoprecipitation	2	MOLM-MEN-VTP-A2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO272.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	VTP-50469
PXD068124-sample-9	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	VTP-50469	immunoprecipitation	3	MOLM-MEN-VTP-A3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO273.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	VTP-50469
PXD068124-sample-10	Homo sapiens	blood	adult acute monocytic leukemia	monocyte	cell line	MOLM-13	CVCL_2119	MOLM-13	adult	East Asian	20Y	male	not available	VTP-50469	immunoprecipitation	1	MOLM-MEN-VTP-GFP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Trypsin/P;AC=MS:1001313	NT=HCD;AC=MS:1000422	4.5 ppm	20 ppm	1	1	EO274.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	VTP-50469
