source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
cll_01	Homo sapiens	B cell	chronic lymphocytic leukemia	01	PG4	GMMVRJ_DIA_20200611_CLL01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG4
cll_02	Homo sapiens	B cell	chronic lymphocytic leukemia	02	PG5	GMMVRJ_DIA_20200611_CLL02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG5
cll_03	Homo sapiens	B cell	chronic lymphocytic leukemia	03	PG5	GMMVRJ_DIA_20200611_CLL03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG5
cll_04	Homo sapiens	B cell	chronic lymphocytic leukemia	04	PG1	GMMVRJ_DIA_20200611_CLL04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG1
cll_05	Homo sapiens	B cell	chronic lymphocytic leukemia	05	PG4	GMMVRJ_DIA_20200611_CLL05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG4
cll_06	Homo sapiens	B cell	chronic lymphocytic leukemia	06	PG3	GMMVRJ_DIA_20200611_CLL06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG3
cll_09	Homo sapiens	B cell	chronic lymphocytic leukemia	09	PG6	GMMVRJ_DIA_20200611_CLL09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG6
cll_11	Homo sapiens	B cell	chronic lymphocytic leukemia	11	PG6	GMMVRJ_DIA_20200611_CLL11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG6
cll_12	Homo sapiens	B cell	chronic lymphocytic leukemia	12	PG3	GMMVRJ_DIA_20200611_CLL12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG3
cll_13	Homo sapiens	B cell	chronic lymphocytic leukemia	13	PG2	GMMVRJ_DIA_20200611_CLL13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG2
cll_14	Homo sapiens	B cell	chronic lymphocytic leukemia	14	PG4	GMMVRJ_DIA_20200611_CLL14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG4
cll_16	Homo sapiens	B cell	chronic lymphocytic leukemia	16	PG2	GMMVRJ_DIA_20200611_CLL16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG2
cll_18	Homo sapiens	B cell	chronic lymphocytic leukemia	18	PG6	GMMVRJ_DIA_20200611_CLL18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG6
cll_19	Homo sapiens	B cell	chronic lymphocytic leukemia	19	PG3	GMMVRJ_DIA_20200611_CLL19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	GMMVRJ_DIA_20200611_CLL19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	PG3
