source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[group]
NtMatK Cplus #1	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_002_S522420_650_MatK_C_1_C_.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Test line expressing bait
NtMatK Cplus #3	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	3	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_003_S522422_650_MatK_C_3_C_.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Test line expressing bait
NtMatK Cminus #2	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	2	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_004_S522424_659_MatK_2_C-.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Control line
NtMatK Cplus #2	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	2	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_005_S522421_650_MatK_C_2_C_.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Test line expressing bait
NtMatK Cminus #3	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	3	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_008_S522425_659_MatK_3_C-.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Control line
NtMatK Cminus #1	Nicotiana tabacum	seedlings	not available	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	20230616_C32024_009_S522423_659_MatK_1_C-.raw	v1.1.0	manual curation	NT=plants;VV=v1.1.0	Control line
