source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]
PXD024661-sample-1	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	1	untreated	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT126;AC=PRIDE:0000516	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	untreated
PXD024661-sample-2	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	1	O4I2 (dose level 1 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT127N;AC=PRIDE:0000519	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 1 of 4)
PXD024661-sample-3	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	1	O4I2 (dose level 2 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT127C;AC=PRIDE:0000518	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 2 of 4)
PXD024661-sample-4	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	1	O4I2 (dose level 3 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT128N;AC=PRIDE:0000522	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 3 of 4)
PXD024661-sample-5	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	1	O4I2 (dose level 4 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT128C;AC=PRIDE:0000521	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 4 of 4)
PXD024661-sample-6	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	2	untreated	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT129N;AC=PRIDE:0000525	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	untreated
PXD024661-sample-7	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	2	O4I2 (dose level 1 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT129C;AC=PRIDE:0000524	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 1 of 4)
PXD024661-sample-8	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	2	O4I2 (dose level 2 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT130N;AC=PRIDE:0000528	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 2 of 4)
PXD024661-sample-9	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	2	O4I2 (dose level 3 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT130C;AC=PRIDE:0000527	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 3 of 4)
PXD024661-sample-10	homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	2	O4I2 (dose level 4 of 4)	30Y6M	female	20210303_GT_XC_Protac2_Test_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TMT131N;AC=PRIDE:0000580	NT=orbitrap fusion lumos;AC=MS:1002732	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	not available	1	1	20210303_GT_XC_Protac2_Test.raw		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	7 ppm	0.5 Da	O4I2 (dose level 4 of 4)
