source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample_1	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_1	proteomic profiling by mass spectrometry	1	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples01.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_2	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_2	proteomic profiling by mass spectrometry	2	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples02.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_3	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_3	proteomic profiling by mass spectrometry	3	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples04.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_4	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_4	proteomic profiling by mass spectrometry	4	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples03.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_5	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_5	proteomic profiling by mass spectrometry	5	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples07.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_6	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_6	proteomic profiling by mass spectrometry	6	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples12.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_7	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_7	proteomic profiling by mass spectrometry	7	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples13.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_8	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_8	proteomic profiling by mass spectrometry	8	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples14_170314043509.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_9	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_9	proteomic profiling by mass spectrometry	9	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples10.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_10	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_10	proteomic profiling by mass spectrometry	10	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples15.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_11	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_11	proteomic profiling by mass spectrometry	11	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples11.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_12	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_12	proteomic profiling by mass spectrometry	12	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples05.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_13	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_13	proteomic profiling by mass spectrometry	13	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples06.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_14	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_14	proteomic profiling by mass spectrometry	14	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples09.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample_15	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Assay_15	proteomic profiling by mass spectrometry	15	Nsco_20170310_TiOx_unbound_LFQ_HCD_Gina_samples08.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=orbitrap fusion lumos;AC=MS:1002732	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	HCD	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
