source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA	Saccharomyces cerevisiae	not available	not available	1	B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000248_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA	Saccharomyces cerevisiae	not available	not available	1	B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000250_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA	Saccharomyces cerevisiae	not available	not available	1	B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000252_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA	Saccharomyces cerevisiae	not available	not available	1	B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA	Saccharomyces cerevisiae	not available	not available	1	B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000256_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA	Saccharomyces cerevisiae	not available	not available	1	B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA	Saccharomyces cerevisiae	not available	not available	1	B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000260_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA	Saccharomyces cerevisiae	not available	not available	1	B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA	Saccharomyces cerevisiae	not available	not available	1	B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000264_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA	Saccharomyces cerevisiae	not available	not available	1	B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	B000266_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
