source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[crosslinker treatment]
PXD014661-Sample-1	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R1	proteomic profiling by mass spectrometry	Control-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
PXD014661-Sample-2	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R2	proteomic profiling by mass spectrometry	Control-XL-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
PXD014661-Sample-3	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Control-XL-R3	proteomic profiling by mass spectrometry	Control-XL-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Control-XL-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Control	ETD-XL treated
PXD014661-Sample-4	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	LPS-XL-R1	proteomic profiling by mass spectrometry	LPS-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	ETD-XL treated
PXD014661-Sample-5	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	LPS-XL-R2	proteomic profiling by mass spectrometry	LPS-XL-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-XL-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	ETD-XL treated
PXD014661-Sample-6	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	LPS-XL-R3	proteomic profiling by mass spectrometry	LPS-XL-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/LPS-XL-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	LPS	ETD-XL treated
PXD014661-Sample-7	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Statin-LPS-XL-R1	proteomic profiling by mass spectrometry	Statin-LPS-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Statin-LPS-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Statin-LPS	ETD-XL treated
PXD014661-Sample-8	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	2	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Statin-LPS-XL-R2	proteomic profiling by mass spectrometry	Statin-LPS-XL-R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Statin-LPS-XL-R2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Statin-LPS	ETD-XL treated
PXD014661-Sample-9	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	3	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Statin-LPS-XL-R3	proteomic profiling by mass spectrometry	Statin-LPS-XL-R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Statin-LPS-XL-R3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Statin-LPS	ETD-XL treated
PXD014661-Sample-10	Homo sapiens	not applicable	HEK293	not applicable	not available	not applicable	1	not available	not available	anti-HA magnetic bead affinity purification	not available	30 min	not available	Statin-XL-R1	proteomic profiling by mass spectrometry	Statin-XL-R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD014661/Statin-XL-R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ;AC=MS:1000447	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000133;NT=CID	not available	not available	not available	reverse phase chromatography	cross-linking mass spectrometry	NT=ETD-XL;AC=XLMOD:00004;CL=yes	anti-HA magnetic bead affinity purification	1 mM	50 mM Tris-HCl pH 8.0	not available	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	Statin	ETD-XL treated
