source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
170804_V2_P3_CHi_DS_Hall_A_01	170804_V2_P3_CHi_DS_Hall_A_01	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170804_V2_P3_CHi_DS_Hall_A_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170804_V2_P3_CHi_DS_Hall_A_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170804_V2_P3_CHi_DS_Hall_A_04	170804_V2_P3_CHi_DS_Hall_A_04	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170804_V2_P3_CHi_DS_Hall_A_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170804_V2_P3_CHi_DS_Hall_A_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_02	170805_V2_P3_CHi_DS_Hall_B_02	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_03	170805_V2_P3_CHi_DS_Hall_B_03	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_08	170805_V2_P3_CHi_DS_Hall_B_08	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_09	170805_V2_P3_CHi_DS_Hall_B_09	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_10	170805_V2_P3_CHi_DS_Hall_B_10	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_13	170805_V2_P3_CHi_DS_Hall_B_13	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170805_V2_P3_CHi_DS_Hall_B_17	170805_V2_P3_CHi_DS_Hall_B_17	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170805_V2_P3_CHi_DS_Hall_B_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170805_V2_P3_CHi_DS_Hall_B_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
170807_V2_P3_MA_DS_Teeling_C_09	170807_V2_P3_MA_DS_Teeling_C_09	Candidatus pelagibacter sp.	sea water	not applicable	not available	Establishment_of_a_metaproteomics_pipeline_for_marine_particle_associated_microbial_communities	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	170807_V2_P3_MA_DS_Teeling_C_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	170807_V2_P3_MA_DS_Teeling_C_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
