source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HEK293A_SFB_MOB1A_WT	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-MOB1A wild type	1	MOB1A_75740	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	MOB1A_75740.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-MOB1A wild type
HEK293A_SFB_MOB1A_H161Y	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-MOB1A H161Y	1	MOB1A-M_75741	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	MOB1A-M_75741.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-MOB1A H161Y
HEK293A_SFB_MOB1B_WT	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-MOB1B wild type	1	MOB1B_75742	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	MOB1B_75742.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-MOB1B wild type
HEK293A_SFB_MOB1B_H161D	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-MOB1B H161D	1	MOB1B-M_75743	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	MOB1B-M_75743.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-MOB1B H161D
HEK293A_SFB_NF2	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-NF2	1	NF2-1_70838	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	NF2-1_70838.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-NF2
HEK293A_SFB_NF2	Homo sapiens	kidney	epithelial cell	normal	HEK293A	CVCL_6910	HEK293A	cell line	study sample	not available	female	not available	fetal stage	SFB-NF2	2	NF2-2_75737	proteomic profiling by mass spectrometry	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	5 ppm	0.5 Da	1	1	NF2-2_75737.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	SFB-NF2
