source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
IA2836_kallemw_01_WWK_C010_72h_A	Danio rerio	whole body	not available	1	IA2836_kallemw_01_WWK_C010_72h_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_01_WWK_C010_72h_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_02_WWK_C010_72h_B	Danio rerio	whole body	not available	1	IA2836_kallemw_02_WWK_C010_72h_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_02_WWK_C010_72h_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_03_WWK_C010_72h_C	Danio rerio	whole body	not available	1	IA2836_kallemw_03_WWK_C010_72h_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_03_WWK_C010_72h_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_04_WWK_C010_72h_D	Danio rerio	whole body	not available	1	IA2836_kallemw_04_WWK_C010_72h_D	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_04_WWK_C010_72h_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_05_WWK_C010_72h_E	Danio rerio	whole body	not available	1	IA2836_kallemw_05_WWK_C010_72h_E	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_05_WWK_C010_72h_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_06_WWK_C010_72h_F	Danio rerio	whole body	not available	1	IA2836_kallemw_06_WWK_C010_72h_F	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_06_WWK_C010_72h_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_07_WWK_C010_72h_G	Danio rerio	whole body	not available	1	IA2836_kallemw_07_WWK_C010_72h_G	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_07_WWK_C010_72h_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_08_WWK_C010_72h_H	Danio rerio	whole body	not available	1	IA2836_kallemw_08_WWK_C010_72h_H	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_08_WWK_C010_72h_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_09_WWK_C010_72h_I	Danio rerio	whole body	not available	1	IA2836_kallemw_09_WWK_C010_72h_I	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_09_WWK_C010_72h_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
IA2836_kallemw_10_WWK_C010_72h_J	Danio rerio	whole body	not available	1	IA2836_kallemw_10_WWK_C010_72h_J	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	IA2836_kallemw_10_WWK_C010_72h_J.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	whole body
