source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
HD_a EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	healthy	not available	not available	1		20250605_009_S949304_HD1_HD	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_009_S949304_HD1_HD.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HD_b EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	healthy	not available	not available	2		20250605_023_S949305_HD2_HD	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_023_S949305_HD2_HD.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HD_c EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	healthy	not available	not available	3		20250605_004_S949306_HD3_HD	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_004_S949306_HD3_HD.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HD_d EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	healthy	not available	not available	4		20250605_016_S949307_HD4_HD	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_016_S949307_HD4_HD.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RRMS-4 EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	multiple sclerosis	not available	not available	1		20250605_014_S949308_MS1_MS	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_014_S949308_MS1_MS.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RRMS-971DI EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	multiple sclerosis	not available	not available	2		20250605_020_S949309_MS2_MS	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_020_S949309_MS2_MS.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RRMS-505UT EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	multiple sclerosis	not available	not available	3		20250605_008_S949310_MS3_MS	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_008_S949310_MS3_MS.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RRMS-449AN EBV_B cells	NT=Homo sapiens;AC=NCBITaxon:9606	peripheral blood mononuclear cell	B-cells	multiple sclerosis	not available	not available	4		20250605_003_S949311_MS4_MS	DIA	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	AC=MS:1001251;NT=Trypsin;CS='(?<=[KR])(?\!P)'	1	1	20250605_003_S949311_MS4_MS.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
