source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD035563-Sample-1	Homo sapiens	not available	not available	1	02_MB_AoV_100_C_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_100_C_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-2	Homo sapiens	not available	not available	1	02_MB_AoV_100_F_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_100_F_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-3	Homo sapiens	not available	not available	1	02_MB_AoV_100_N_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_100_N_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-4	Homo sapiens	not available	not available	1	02_MB_AoV_112_C_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_112_C_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-5	Homo sapiens	not available	not available	1	02_MB_AoV_112_F_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_112_F_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-6	Homo sapiens	not available	not available	1	02_MB_AoV_112_N_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_112_N_92020_1-20_rep1_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-7	Homo sapiens	not available	not available	1	02_MB_AoV_168_C_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_168_C_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-8	Homo sapiens	not available	not available	1	02_MB_AoV_168_F_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_168_F_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-9	Homo sapiens	not available	not available	1	02_MB_AoV_168_N_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_168_N_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD035563-Sample-10	Homo sapiens	not available	not available	1	02_MB_AoV_181_C_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	02_MB_AoV_181_C_92020_1-20_rep2_TopS_OT120k-CID-IT_90min_5-21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
