source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD061636-Sample-1	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_1_100ng_Slot1-12_1_8797	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_1_100ng_Slot1-12_1_8797.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-2	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_2_100ng_Slot1-13_1_8870	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_2_100ng_Slot1-13_1_8870.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-3	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_3_100ng_Slot1-14_1_8876	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_3_100ng_Slot1-14_1_8876.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-4	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_4_100ng_Slot1-15_1_8882	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep1_4_100ng_Slot1-15_1_8882.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-5	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_1_100ng_Slot1-16_1_8800	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_1_100ng_Slot1-16_1_8800.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-6	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_2_100ng_Slot1-17_1_8872	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_2_100ng_Slot1-17_1_8872.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-7	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_3_100ng_Slot1-18_1_8878	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_3_100ng_Slot1-18_1_8878.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-8	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_4_100ng_Slot1-19_1_8884	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep2_4_100ng_Slot1-19_1_8884.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-9	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep3_1_100ng_Slot1-20_1_8868	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep3_1_100ng_Slot1-20_1_8868.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD061636-Sample-10	Mus musculus	heart	not available	not available	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep3_2_100ng_Slot1-21_1_8874	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF fleX;AC=MS:1003124	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	P2024-07_Core_NKUAPharmacy_Nikolaou_20240720_11RR11LL_RIPA_heart_rep3_2_100ng_Slot1-21_1_8874.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
