source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HeLa_WT_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; ER fraction; oleic acid loading	1	20200624_WT_ER_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_ER_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; ER fraction; oleic acid loading
HeLa_WT_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; ER fraction; oleic acid loading	2	20200624_WT_ER_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_ER_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; ER fraction; oleic acid loading
HeLa_WT_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; ER fraction; oleic acid loading	3	20200624_WT_ER_3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_ER_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; ER fraction; oleic acid loading
HeLa_WT_LD	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; lipid droplet fraction; oleic acid loading	1	20200624_WT_LD_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_LD_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; lipid droplet fraction; oleic acid loading
HeLa_WT_LD	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; lipid droplet fraction; oleic acid loading	2	20200624_WT_LD_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_LD_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; lipid droplet fraction; oleic acid loading
HeLa_WT_LD	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	wild type; lipid droplet fraction; oleic acid loading	3	20200624_WT_LD_3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_WT_LD_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	wild type; lipid droplet fraction; oleic acid loading
HeLa_KO_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	seipin knockout; ER fraction; oleic acid loading	1	20200624_KO_ER_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_KO_ER_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	seipin knockout; ER fraction; oleic acid loading
HeLa_KO_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	seipin knockout; ER fraction; oleic acid loading	2	20200624_KO_ER_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_KO_ER_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	seipin knockout; ER fraction; oleic acid loading
HeLa_KO_ER	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	seipin knockout; ER fraction; oleic acid loading	3	20200624_KO_ER_3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_KO_ER_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	seipin knockout; ER fraction; oleic acid loading
HeLa_KO_LD	Homo sapiens	uterine cervix	epithelial cell of cervix	cervical adenocarcinoma	HeLa	CVCL_0030	HeLa	cell line	study sample	30Y6M	female	not available	adult stage	seipin knockout; lipid droplet fraction; oleic acid loading	1	20200624_KO_LD_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20200624_KO_LD_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	seipin knockout; lipid droplet fraction; oleic acid loading
