source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
111028_DML2_28	Mus musculus	heart	not applicable	not available	28	111028_DML2_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111028_DML2_28.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/111028_DML2_28.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
111115_DML8_2_38	Mus musculus	heart	not applicable	not available	38	111115_DML8_2_38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111115_DML8_2_38.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/111115_DML8_2_38.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_55	Mus musculus	heart	not applicable	not available	55	120910_DML15B_55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_55.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_55.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_51	Mus musculus	heart	not applicable	not available	51	120910_DML15B_51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_51.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_51.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120725_DML12_36	Mus musculus	heart	not applicable	not available	36	120725_DML12_36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_36.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_36.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
110907_DML2_21	Mus musculus	heart	not applicable	not available	21	110907_DML2_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	110907_DML2_21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/110907_DML2_21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120625_DML11_18	Mus musculus	heart	not applicable	not available	18	120625_DML11_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120625_DML11_18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120625_DML11_18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_46	Mus musculus	heart	not applicable	not available	46	120910_DML15B_46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_46.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_46.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120830_DML14B_19	Mus musculus	heart	not applicable	not available	19	120830_DML14B_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120830_DML14B_19.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120830_DML14B_19.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120830_DML14B_58	Mus musculus	heart	not applicable	not available	58	120830_DML14B_58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120830_DML14B_58.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120830_DML14B_58.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
