source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental model]	factor value[compound]
FT2821J-MC-noE2-bio1	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	1	run 2023_0628_0089_AC1_7_FT2821J_MC_Bio1_200ng_15Da_S1-D4_1_1368	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0089_AC1_7_FT2821J_MC_Bio1_200ng_15Da_S1-D4_1_1368.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	not applicable
FT2821J-MC-E2-bio1	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	1	run 2023_0628_0090_AC1_8_FT2821J_MC_BEst_Bio1_200ng_15Da_S1-D5_1_1369	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0090_AC1_8_FT2821J_MC_BEst_Bio1_200ng_15Da_S1-D5_1_1369.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	17beta-estradiol
FT2821J-MC-noE2-bio2	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	2	run 2023_0628_0095_AC1_15_FT2821J_MC_Bio2_200ng_15Da_S1-E4_1_1374	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0095_AC1_15_FT2821J_MC_Bio2_200ng_15Da_S1-E4_1_1374.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	not applicable
FT2821J-MC-E2-bio2	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	2	run 2023_0628_0096_AC1_16_FT2821J_MC_BEst_Bio2_200ng_15Da_S1-E5_1_1375	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0096_AC1_16_FT2821J_MC_BEst_Bio2_200ng_15Da_S1-E5_1_1375.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	17beta-estradiol
FT2821J-MC-noE2-bio3	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	3	run 2023_0628_0101_AC1_23_FT2821J_MC_Bio3_200ng_15Da_S1-F4_1_1380	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0101_AC1_23_FT2821J_MC_Bio3_200ng_15Da_S1-F4_1_1380.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	not applicable
FT2821J-MC-E2-bio3	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	3	run 2023_0628_0102_AC1_24_FT2821J_MC_BEst_Bio3_200ng_15Da_S1-F5_1_1381	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0102_AC1_24_FT2821J_MC_BEst_Bio3_200ng_15Da_S1-F5_1_1381.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	17beta-estradiol
FT2821J-MC-noE2-bio4	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	4	run 2023_0628_0083_AC1_31_FT2821J_MC_Bio4_200ng_15Da_S1-C4_1_1362	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0083_AC1_31_FT2821J_MC_Bio4_200ng_15Da_S1-C4_1_1362.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	not applicable
FT2821J-MC-E2-bio4	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	4	run 2023_0628_0084_AC1_32_FT2821J_MC_BEst_Bio4_200ng_15Da_S1-C5_1_1363	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0084_AC1_32_FT2821J_MC_BEst_Bio4_200ng_15Da_S1-C5_1_1363.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	FT2821J multicompartment organoid	17beta-estradiol
Primary-MC-noE2-bio1	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	1	run 2023_0628_0086_AC1_3_Primary_MC_Bio1_200ng_15Da_S1-D1_1_1365	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0086_AC1_3_Primary_MC_Bio1_200ng_15Da_S1-D1_1_1365.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	not applicable
Primary-MC-E2-bio1	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	1	run 2023_0628_0087_AC1_4_Primary_MC_BEst_Bio1_200ng_15Da_S1-D2_1_1366	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0087_AC1_4_Primary_MC_BEst_Bio1_200ng_15Da_S1-D2_1_1366.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	17beta-estradiol
