source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[label]	comment[fraction identifier]	comment[instrument]	comment[data file]	comment[file uri]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[condition]
Sample_C_swap1_rep1	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD805.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD805.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_swap1
Sample_A_swap1_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD805.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD805.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_swap1
Sample_B_swap1_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD806.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD806.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_swap1
Sample_C_swap1_rep2	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD806.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD806.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_swap1
Sample_A_swap1_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD806.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD806.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_swap1
Sample_C_swap2_rep1	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD807.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD807.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_swap2
Sample_A_swap2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD807.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD807.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_swap2
Sample_B_swap2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD807.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD807.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_swap2
Sample_C_swap2_rep2	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD808.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD808.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_swap2
Sample_A_swap2_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD808.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD808.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_swap2
