source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biorepository]	characteristics[passage number]	characteristics[culture medium]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[bait]	factor value[cellular compartment]	factor value[treatment]
eGFPNLSCTL1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	1	OF_20220207_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220207_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	not applicable
eGFPNLS4OHT1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	1	OF_20220207_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220207_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	Afimoxifene
TCOF1eGFPCTL1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	1	OF_20220207_OEF_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220207_OEF_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	not applicable
TCOF1eGFP4OHT1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	1	OF_20220207_OEF_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220207_OEF_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	Afimoxifene
eGFPNLSCTL2	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	2	OF_20220208_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220208_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	not applicable
eGFPNLS4OHT2	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	2	OF_20220208_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220208_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	Afimoxifene
TCOF1eGFPCTL2	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	2	OF_20220208_OEF_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220208_OEF_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	not applicable
TCOF1eGFP4OHT2	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	2	OF_20220208_OEF_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220208_OEF_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	Afimoxifene
eGFPNLSCTL3	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	3	OF_20220209_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220209_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	not applicable
eGFPNLS4OHT3	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	3	OF_20220209_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220209_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	eGFP-NLS	nucleoplasm	Afimoxifene
TCOF1eGFPCTL3	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	3	OF_20220209_OEF_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220209_OEF_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	not applicable
TCOF1eGFP4OHT3	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	Afimoxifene	3	OF_20220209_OEF_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20220209_OEF_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	TCOF1-eGFP	nucleolus	Afimoxifene
WT1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	not applicable	1	OF_20231026_OEF_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20231026_OEF_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10xHis-UFM1dSC	nucleus	not applicable
DMSO1	Homo sapiens	pigmented layer of retina	normal	retinal pigment epithelial cell	cell line	hTERT-RPE1	CVCL_4388	hTERT-RPE1	pigmented layer of retina	not available	1Y	female	infant	ATCC	not available	not available	dimethyl sulfoxide	1	OF_20231026_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	29 NCE	10 ppm	0.6 Da	360m/z	1560m/z	1	1	OF_20231026_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10xHis-UFM1dSC	nucleus	dimethyl sulfoxide
