source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[allergen]	factor value[gel band]
IL33-ragweed	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	ragweed	1	OFMYC150710_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC150710_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ragweed	1
IL33-Alternaria_alternata	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	Alternaria alternata	2	OFMYC150520_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	3	1	OFMYC150520_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Alternaria alternata	3
IL33-full-length_control	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	not applicable	3	OFMYC150710_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC150710_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	full-length control	1
IL33-timothy	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	timothy	2	OFMYC150710_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC150710_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	timothy	1
IL33-Alternaria_alternata	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	Alternaria alternata	2	OFMYC150520_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC150520_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Alternaria alternata	1
IL33-Aspergillus_fumigatus	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	Aspergillus fumigatus	1	OFMYC150710_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC150710_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Aspergillus fumigatus	1
IL33-papain	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	papain	1	OFMYC160223_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC160223_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	papain	1
IL33-Alternaria_alternata	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	Alternaria alternata	2	OFMYC150520_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	2	1	OFMYC150520_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Alternaria alternata	2
IL33-Aspergillus_oryzae	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	Aspergillus oryzae	2	OFMYC160623_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC160623_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Aspergillus oryzae	1
IL33-subtilisin	Homo sapiens	not applicable	not applicable	not applicable	synthetic	not applicable	not available	not applicable	subtilisin	1	OFMYC160708_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not available	10 ppm	0.8 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=SDS PAGE;AC=PRIDE:0000568	1	1	OFMYC160708_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	subtilisin	1
