source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	11	1	Yeast_XP_SDS_lysc_011.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	12	1	Yeast_XP_SDS_lysc_012.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	13	1	Yeast_XP_SDS_lysc_013.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	14	1	Yeast_XP_SDS_lysc_014.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	15	1	Yeast_XP_SDS_lysc_015.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	16	1	Yeast_XP_SDS_lysc_016.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	17	1	Yeast_XP_SDS_lysc_017.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	18	1	Yeast_XP_SDS_lysc_018.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	19	1	Yeast_XP_SDS_lysc_019.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	20	1	Yeast_XP_SDS_lysc_020.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
