source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[treatment]
T_2	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	NaCl	2	T_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	T_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/T_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	NaCl
K_1	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	control	1	K_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	K_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/K_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	control
K_2	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	control	2	K_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	K_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/K_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	control
T_1	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	NaCl	1	T_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	T_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/T_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	NaCl
K_3	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	control	3	K_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	K_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/K_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	control
T_3	Brachypodium distachyon	leaf	not applicable	not available	phosphopeptide enrichment (TiO2)	NaCl	3	T_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	7 ppm	0.5 Da	37% NCE	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	iodoacetamide	1	1	T_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000340/T_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf	NaCl
