source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[subcellular fraction]
FICO_A01	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04536	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	Orbi_OOE_04536.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A02	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04537	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	2	1	Orbi_OOE_04537.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A03	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04538	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	3	1	Orbi_OOE_04538.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A04	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04539	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	4	1	Orbi_OOE_04539.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A05	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04540	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	5	1	Orbi_OOE_04540.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A06	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04541	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	6	1	Orbi_OOE_04541.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A07	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04542	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	7	1	Orbi_OOE_04542.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A08	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04543	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	8	1	Orbi_OOE_04543.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A09	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04544	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	9	1	Orbi_OOE_04544.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
FICO_A10	Homo sapiens	blood	normal	neutrophil	cell	not available	not available	not available	adult	1	Orbi_OOE_04545	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10	1	Orbi_OOE_04545.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FICO granule fraction
