source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140310_QE_640_Kosono_3_TA1	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140310_QE_640_Kosono_3_TA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140310_QE_640_Kosono_3_TA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140310_QE_640_Kosono_3_TA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140313_QE_640_Kosono_8_TS2	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140313_QE_640_Kosono_8_TS2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140313_QE_640_Kosono_8_TS2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140313_QE_640_Kosono_8_TS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140313_QE_640_Kosono_7_TS1	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140313_QE_640_Kosono_7_TS1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140313_QE_640_Kosono_7_TS1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140313_QE_640_Kosono_7_TS1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140313_QE_640_Kosono_6_CS2	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140313_QE_640_Kosono_6_CS2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140313_QE_640_Kosono_6_CS2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140313_QE_640_Kosono_6_CS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140310_QE_640_Kosono_2_CA2	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140310_QE_640_Kosono_2_CA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140310_QE_640_Kosono_2_CA2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140310_QE_640_Kosono_2_CA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140221_QE_640_Kosono_09_CL	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140221_QE_640_Kosono_09_CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140221_QE_640_Kosono_09_CL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140221_QE_640_Kosono_09_CL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140221_QE_640_Kosono_10_TL	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140221_QE_640_Kosono_10_TL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140221_QE_640_Kosono_10_TL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140221_QE_640_Kosono_10_TL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140313_QE_640_Kosono_5_CS1	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140313_QE_640_Kosono_5_CS1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140313_QE_640_Kosono_5_CS1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140313_QE_640_Kosono_5_CS1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140310_QE_640_Kosono_4_TA2	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140310_QE_640_Kosono_4_TA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140310_QE_640_Kosono_4_TA2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140310_QE_640_Kosono_4_TA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
140310_QE_640_Kosono_1_CA1	corynebacterium glutamicum k051	Cell lysate	not applicable	not available	antibody enrichment	1	140310_QE_640_Kosono_1_CA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	20 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140310_QE_640_Kosono_1_CA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001662/140310_QE_640_Kosono_1_CA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell lysate
