source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample name]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[gastrointestinal tract disorder]	characteristics[antibiotic treatment]	characteristics[sample storage]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[sample storage temperature]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Q08004_Micropoly_1	human gut metagenome	feces	1	Q08004_Micropoly_1	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08004_Micropoly_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08004_Micropoly_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08003_Micropoly_2	human gut metagenome	feces	1	Q08003_Micropoly_2	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08003_Micropoly_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08003_Micropoly_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08006_Micropoly_3	human gut metagenome	feces	1	Q08006_Micropoly_3	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08006_Micropoly_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08006_Micropoly_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08005_Micropoly_4	human gut metagenome	feces	1	Q08005_Micropoly_4	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08005_Micropoly_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08005_Micropoly_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08008_Micropoly_5	human gut metagenome	feces	1	Q08008_Micropoly_5	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08008_Micropoly_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08008_Micropoly_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08007_Micropoly_6	human gut metagenome	feces	1	Q08007_Micropoly_6	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08007_Micropoly_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08007_Micropoly_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08010_Micropoly_7	human gut metagenome	feces	1	Q08010_Micropoly_7	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08010_Micropoly_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08010_Micropoly_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08009_Micropoly_8	human gut metagenome	feces	1	Q08009_Micropoly_8	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08009_Micropoly_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08009_Micropoly_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08012_Micropoly_9	human gut metagenome	feces	1	Q08012_Micropoly_9	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08012_Micropoly_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08012_Micropoly_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08011_Micropoly_10	human gut metagenome	feces	1	Q08011_Micropoly_10	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08011_Micropoly_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08011_Micropoly_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
