source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[sample type]
Halo_lysate_S1	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140924_Halo_S1_RT_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	1	TTA20140924_Halo_S1_RT_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S1	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140924_Halo_S1_RT_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	2	TTA20140924_Halo_S1_RT_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S2	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	2	TTA20140924_Halo_S2_RT_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	1	TTA20140924_Halo_S2_RT_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S2	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	2	TTA20140924_Halo_S2_RT_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	2	TTA20140924_Halo_S2_RT_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S3	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	3	TTA20140924_Halo_S3_RT_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	1	TTA20140924_Halo_S3_RT_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S3	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	3	TTA20140924_Halo_S3_RT_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	2	TTA20140924_Halo_S3_RT_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S4	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	4	TTA20140924_Halo_S4_RT_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	1	TTA20140924_Halo_S4_RT_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S4	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	4	TTA20140924_Halo_S4_RT_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	2	TTA20140924_Halo_S4_RT_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S5	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	5	TTA20140924_Halo_S5_RT_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	1	TTA20140924_Halo_S5_RT_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
Halo_lysate_S5	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	5	TTA20140924_Halo_S5_RT_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.05 Da	1	2	TTA20140924_Halo_S5_RT_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	whole lysate
