source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[mass]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Sample 1	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=10	CT=protein;AC=P02769;CN=BSA spike;QY=1	CT=protein;AC=P00489;CN=PhosB spike;QY=2	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=1	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT126	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT126	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 2	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=5	CT=protein;AC=P02769;CN=BSA spike;QY=2.5	CT=protein;AC=P00489;CN=PhosB spike;QY=2	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=1	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT127	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT127	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 3	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=2.5	CT=protein;AC=P02769;CN=BSA spike;QY=5	CT=protein;AC=P00489;CN=PhosB spike;QY=2	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=1	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT128	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT128	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 4	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=1	CT=protein;AC=P02769;CN=BSA spike;QY=10	CT=protein;AC=P00489;CN=PhosB spike;QY=2	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=1	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT129	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT129	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 5	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=2.5	CT=protein;AC=P02769;CN=BSA spike;QY=5	CT=protein;AC=P00489;CN=PhosB spike;QY=1	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=1	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT130	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT130	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 6	Pectobacterium carotovorum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not available	CT=protein;AC=P00924;CN=Enolase spike;QY=10	CT=protein;AC=P02769;CN=BSA spike;QY=1	CT=protein;AC=P00489;CN=PhosB spike;QY=1	CT=protein;AC=P62894;CN=Cytochrome C spike;QY=2	not applicable	1	cell	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01_TMT131	proteomic profiling by mass spectrometry	TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw	1	1	TMT131	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Methylthio;TA=C;MT=Fixed;AC=UNIMOD:39	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25 ppm	0.2 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
