source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
yanliu_L130325_006_NAG2_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L130325_006_NAG2_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L130325_006_NAG2_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L130325_006_NAG2_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_J130402_002_EDRN_5600_mixAll_Shotgunreplicate3	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_J130402_002_EDRN_5600_mixAll_Shotgunreplicate3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_J130402_002_EDRN_5600_mixAll_Shotgunreplicate3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_J130402_002_EDRN_5600_mixAll_Shotgunreplicate3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L130325_005_NAG1_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L130325_005_NAG1_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L130325_005_NAG1_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L130325_005_NAG1_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L130325_003_AG2_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L130325_003_AG2_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L130325_003_AG2_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L130325_003_AG2_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L121217_007_METpool_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L121217_007_METpool_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L121217_007_METpool_SW.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L121217_007_METpool_SW.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L121217_004_N_exp1_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L121217_004_N_exp1_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L121217_004_N_exp1_SW.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L121217_004_N_exp1_SW.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L121217_003_EDRN_5600_mixAll_Shotgunreplicate1	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L121217_003_EDRN_5600_mixAll_Shotgunreplicate1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L121217_003_EDRN_5600_mixAll_Shotgunreplicate1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L121217_003_EDRN_5600_mixAll_Shotgunreplicate1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L121217_005_NAGpool_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L121217_005_NAGpool_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L121217_005_NAGpool_SW.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L121217_005_NAGpool_SW.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L121217_006_AGpool_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L121217_006_AGpool_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L121217_006_AGpool_SW.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L121217_006_AGpool_SW.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
yanliu_L130325_002_AG1_SW	homo sapiens	serum	not applicable	Prostate cancer	enrichment	1	yanliu_L130325_002_AG1_SW	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	50 ppm	tris(2-carboxyethyl)phosphine (tcep)	1	1	yanliu_L130325_002_AG1_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000704/yanliu_L130325_002_AG1_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	serum
