source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PAF6779A30RW2_CFXF3PAF6779A30RW2-40-510460	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A30RW2_CFXF3PAF6779A30RW2-40-510460	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A30RW2_CFXF3PAF6779A30RW2-40-510460.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A30RW2_CFXF3PAF6779A30RW2-40-510460.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A24RW2_CFXH2PAF6779A24RW2-40-510453	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A24RW2_CFXH2PAF6779A24RW2-40-510453	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A24RW2_CFXH2PAF6779A24RW2-40-510453.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A24RW2_CFXH2PAF6779A24RW2-40-510453.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A57RW2_CFXA7PAF6779A57RW2-40-510486	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A57RW2_CFXA7PAF6779A57RW2-40-510486	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A57RW2_CFXA7PAF6779A57RW2-40-510486.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A57RW2_CFXA7PAF6779A57RW2-40-510486.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A28RW2_CFXD3PAF6779A28RW2-40-510458	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A28RW2_CFXD3PAF6779A28RW2-40-510458	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A28RW2_CFXD3PAF6779A28RW2-40-510458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A28RW2_CFXD3PAF6779A28RW2-40-510458.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A42RW2_CFXB5PAF6779A42RW2-40-510472	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A42RW2_CFXB5PAF6779A42RW2-40-510472	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A42RW2_CFXB5PAF6779A42RW2-40-510472.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A42RW2_CFXB5PAF6779A42RW2-40-510472.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A32RW2_CFXH3PAF6779A32RW2-40-510462	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A32RW2_CFXH3PAF6779A32RW2-40-510462	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A32RW2_CFXH3PAF6779A32RW2-40-510462.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A32RW2_CFXH3PAF6779A32RW2-40-510462.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A8RW2_CFXB1PAF6779A8RW2-40-510077	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A8RW2_CFXB1PAF6779A8RW2-40-510077	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A8RW2_CFXB1PAF6779A8RW2-40-510077.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A8RW2_CFXB1PAF6779A8RW2-40-510077.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A2RW2_CFXB1PAF6779A2RW2-40-509836	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A2RW2_CFXB1PAF6779A2RW2-40-509836	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A2RW2_CFXB1PAF6779A2RW2-40-509836.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A2RW2_CFXB1PAF6779A2RW2-40-509836.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A36RW2_CFXD4PAF6779A36RW2-40-510466	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A36RW2_CFXD4PAF6779A36RW2-40-510466	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A36RW2_CFXD4PAF6779A36RW2-40-510466.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A36RW2_CFXD4PAF6779A36RW2-40-510466.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PAF6779A17RW2_CFXA2PAF6779A17RW2-40-510442	toxoplasma gondii me49	serum	not applicable	not available	antibody enrichment	1	PAF6779A17RW2_CFXA2PAF6779A17RW2-40-510442	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	28% NCE	sds page	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	PAF6779A17RW2_CFXA2PAF6779A17RW2-40-510442.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD003217/PAF6779A17RW2_CFXA2PAF6779A17RW2-40-510442.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
