source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
P6_13	Capra hircus	Epithelial cell	not applicable	not available	13	P6_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_13.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_13.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_15	Capra hircus	Epithelial cell	not applicable	not available	15	P3_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_15.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_15.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_04_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_04_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_04_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_04_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_01_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_01_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_01_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_01_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_19_20	Capra hircus	Epithelial cell	not applicable	not available	20	P6_19_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_19_20.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_19_20.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_08_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_08_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_08_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_08_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_17	Capra hircus	Epithelial cell	not applicable	not available	17	P6_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_17.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_17.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_18	Capra hircus	Epithelial cell	not applicable	not available	18	P6_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_18.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_18.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_15	Capra hircus	Epithelial cell	not applicable	not available	15	P5_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_15.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_15.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_16	Capra hircus	Epithelial cell	not applicable	not available	16	P6_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_16.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_16.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_18	Capra hircus	Epithelial cell	not applicable	not available	18	P3_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_18.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_18.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_15	Capra hircus	Epithelial cell	not applicable	not available	15	P6_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_15.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_15.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_10_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_10_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_10_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_10_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_16	Capra hircus	Epithelial cell	not applicable	not available	16	P3_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_16.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_16.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_03_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_03_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_03_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_03_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_08_10	Capra hircus	Epithelial cell	not applicable	not available	10	P5_08_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_08_10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_08_10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_14	Capra hircus	Epithelial cell	not applicable	not available	14	P3_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_14.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_14.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_16	Capra hircus	Epithelial cell	not applicable	not available	16	P5_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_16.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_16.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_19_20	Capra hircus	Epithelial cell	not applicable	not available	20	P5_19_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_19_20.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_19_20.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_08_10	Capra hircus	Epithelial cell	not applicable	not available	10	P3_08_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_08_10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_08_10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_05_07	Capra hircus	Epithelial cell	not applicable	not available	7	P3_05_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_05_07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_05_07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_17	Capra hircus	Epithelial cell	not applicable	not available	17	P3_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_17.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_17.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
