source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
CMB-2085DIA_UPRC_9606_A003564_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_57	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003564_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_57	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003564_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003566_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_58	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003566_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_58	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003566_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003570_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_60	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003570_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_60	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003570_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003558_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_54	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003558_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_54	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003558_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003554_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_52	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003554_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_52	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003554_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003548_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_49	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003548_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_49	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003548_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003556_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_53	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003556_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_53	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003556_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003572_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_61	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003572_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_61	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003572_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_61.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003552_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_51	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003552_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_51	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003552_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
CMB-2085DIA_UPRC_9606_A003562_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_56	Shigella flexneri	Cell suspension culture	1	CMB-2085DIA_UPRC_9606_A003562_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_56	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	CMB-2085DIA_UPRC_9606_A003562_1p_ih15um7_10cm_trapPM3_Neo_noFAIMS_30min_2mz_CMB-2085_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Cell suspension culture
