source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
220329_VE1_PM4_AOs_2022-007_Abi_2_02	220329_VE1_PM4_AOs_2022-007_Abi_2_02	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220329_VE1_PM4_AOs_2022-007_Abi_2_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220329_VE1_PM4_AOs_2022-007_Abi_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220329_VE1_PM4_AOs_2022-007_Abi_2_06	220329_VE1_PM4_AOs_2022-007_Abi_2_06	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220329_VE1_PM4_AOs_2022-007_Abi_2_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220329_VE1_PM4_AOs_2022-007_Abi_2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220329_VE1_PM4_AOs_2022-007_Abi_2_07	220329_VE1_PM4_AOs_2022-007_Abi_2_07	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220329_VE1_PM4_AOs_2022-007_Abi_2_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220329_VE1_PM4_AOs_2022-007_Abi_2_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220330_VE1_PM4_AOs_2022-007_Abi_3_02	220330_VE1_PM4_AOs_2022-007_Abi_3_02	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220330_VE1_PM4_AOs_2022-007_Abi_3_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220330_VE1_PM4_AOs_2022-007_Abi_3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220330_VE1_PM4_AOs_2022-007_Abi_3_03	220330_VE1_PM4_AOs_2022-007_Abi_3_03	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220330_VE1_PM4_AOs_2022-007_Abi_3_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220330_VE1_PM4_AOs_2022-007_Abi_3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220330_VE1_PM4_AOs_2022-007_Abi_3_04	220330_VE1_PM4_AOs_2022-007_Abi_3_04	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220330_VE1_PM4_AOs_2022-007_Abi_3_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220330_VE1_PM4_AOs_2022-007_Abi_3_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220331_VE1_PM4_AOs_2022-007_Abi_4_01	220331_VE1_PM4_AOs_2022-007_Abi_4_01	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220331_VE1_PM4_AOs_2022-007_Abi_4_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220331_VE1_PM4_AOs_2022-007_Abi_4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220331_VE1_PM4_AOs_2022-007_Abi_4_02	220331_VE1_PM4_AOs_2022-007_Abi_4_02	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220331_VE1_PM4_AOs_2022-007_Abi_4_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220331_VE1_PM4_AOs_2022-007_Abi_4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220331_VE1_PM4_AOs_2022-007_Abi_4_09	220331_VE1_PM4_AOs_2022-007_Abi_4_09	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220331_VE1_PM4_AOs_2022-007_Abi_4_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220331_VE1_PM4_AOs_2022-007_Abi_4_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
220331_VE1_PM4_AOs_2022-007_Abi_4_10	220331_VE1_PM4_AOs_2022-007_Abi_4_10	Homo sapiens	not available	not applicable	not available	Metaproteogenomics_resolution_of_a_high-CO2_aquifer_community_suggests_a_predatory_lifestyle_of_groundwater_Gracilibacteria	not available	not available	7.5, 0.1	not available	not available	not available	1	220331_VE1_PM4_AOs_2022-007_Abi_4_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	220331_VE1_PM4_AOs_2022-007_Abi_4_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
