source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20210927_Exploris_Project_528_Michela_sample_S_G1	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_G1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_G1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_G3	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_G3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_G3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_WT_D4	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_WT_D4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_WT_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_D1	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_D1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_D4	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_D4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_WT_D1	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_WT_D1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_WT_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_D2	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_D2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_G2	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_G2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_S_G4	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_S_G4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_S_G4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
20210927_Exploris_Project_528_Michela_sample_WT_D2	Mus musculus	Embryonic stem cell	not available	not available	1	20210927_Exploris_Project_528_Michela_sample_WT_D2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210927_Exploris_Project_528_Michela_sample_WT_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Embryonic stem cell
