source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
IL100112_150min_395	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IL100112_150min_395	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_395.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_395.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_410	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IL100112_150min_410	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_410.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_410.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL291211_408	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IL291211_408	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL291211_408.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL291211_408.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_400	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IL100112_150min_400	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_400.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_400.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_394	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IL100112_150min_394	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_394.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_394.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_401_2	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	2	IL100112_150min_401_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_401_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_401_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_394_2	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	2	IL100112_150min_394_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_394_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_394_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_408_2	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	2	IL100112_150min_408_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_408_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_408_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_409_2	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	2	IL100112_150min_409_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_409_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_409_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_400_2	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	2	IL100112_150min_400_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_400_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_400_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
