source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample type]
Blank_0.1pct_formic_acid	not applicable	not applicable	not applicable	not applicable	not applicable	buffer control	not pooled	1	20240802_MCA_24I005_DDA_blank	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	not applicable	not applicable	1	1	20240802_MCA_24I005_DDA_blank.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	buffer control
Blank_0.1pct_formic_acid	not applicable	not applicable	not applicable	not applicable	not applicable	buffer control	not pooled	1	20240802_MCA_24I005_DDA10W_blank	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	not applicable	not applicable	1	2	20240802_MCA_24I005_DDA10W_blank.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	buffer control
