source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
CS37003_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	1	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37003_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37004_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	2	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37004_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37005_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	3	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37005_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37006_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	4	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37006_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37007_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	5	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37007_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37008_Control	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	6	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37008_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37009_HFpEF+vehicle	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	1	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37009_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37010_HFpEF+vehicle	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	2	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37010_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37011_HFpEF+vehicle	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	3	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37011_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
CS37012_HFpEF+vehicle	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	heart failure	not available	4	Run 1	http://purl.obolibrary.org/obo/CHMO_0000701	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	NT=Trypsin	NT=Acetylation; MT=Fixed; TA=K	1	1	220510_37012_KA_L.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0
