source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
111222_LH05	Homo sapiens	not available	not applicable	not available	1	111222_LH05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111222_LH05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111222_LH05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_iTRAQ_30	Homo sapiens	not available	not applicable	not available	30	CRC_iTRAQ_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_iTRAQ_30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_iTRAQ_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120307_mHCT116_iTRAQ_24	Homo sapiens	not available	not applicable	not available	24	120307_mHCT116_iTRAQ_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120307_mHCT116_iTRAQ_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120307_mHCT116_iTRAQ_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120404_mHCT116_phospho_09	Homo sapiens	not available	not applicable	not available	9	120404_mHCT116_phospho_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120404_mHCT116_phospho_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120404_mHCT116_phospho_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120105_pLH21	Homo sapiens	not available	not applicable	not available	1	120105_pLH21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120105_pLH21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120105_pLH21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111229_pHL26	Homo sapiens	not available	not applicable	not available	1	111229_pHL26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111229_pHL26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111229_pHL26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121026_CRC_N_Fr17	Homo sapiens	not available	not applicable	not available	1	121026_CRC_N_Fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	17	1	121026_CRC_N_Fr17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121026_CRC_N_Fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120307_mHCT116_iTRAQ_29	Homo sapiens	not available	not applicable	not available	29	120307_mHCT116_iTRAQ_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120307_mHCT116_iTRAQ_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120307_mHCT116_iTRAQ_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120105_pLH09	Homo sapiens	not available	not applicable	not available	1	120105_pLH09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120105_pLH09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120105_pLH09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120404_mHCT116_phospho_26	Homo sapiens	not available	not applicable	not available	26	120404_mHCT116_phospho_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120404_mHCT116_phospho_26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120404_mHCT116_phospho_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
