source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
L00858_S25	L00858_S25	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00858_S25	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00858_S25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00860_S03	L00860_S03	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00860_S03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00860_S03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00862_S07	L00862_S07	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00862_S07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00862_S07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00864_S15	L00864_S15	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00864_S15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00864_S15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00866_S09	L00866_S09	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00866_S09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00866_S09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00868_S26	L00868_S26	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00868_S26	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00868_S26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00870_S04	L00870_S04	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00870_S04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00870_S04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00872_S01	L00872_S01	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00872_S01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00872_S01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00874_S30	L00874_S30	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00874_S30	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00874_S30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00876_S31	L00876_S31	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00876_S31	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00876_S31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00880_S32	L00880_S32	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00880_S32	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00880_S32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00882_S33	L00882_S33	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00882_S33	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00882_S33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00884_S24	L00884_S24	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00884_S24	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00884_S24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00887_S29	L00887_S29	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00887_S29	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00887_S29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
