source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
20220120-A0664-01-TiO2-45_90ul-S4data-Gluc-4miss	Homo sapiens	oral cavity	epithelial	OECM-1	not available	adult	head and neck cancer	male	not available	enrichment of phosphorylated Protein	Asian	cell line	1	run 1	proteomic profiling by mass spectrometry	1	20220120-A0664-01-TiO2-45_90ul-S4data-Gluc-4miss.raw	1	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	10 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	OECM-1
20220120-A0664-03-TiO2-45_90ul-S4data-Gluc-4miss	Homo sapiens	Tongue	epithelial	CAL-27	CVCL_0214	adult	head and neck cancer	male	56Y	enrichment of phosphorylated Protein	Caucasian	cell line	1	run 2	proteomic profiling by mass spectrometry	1	20220120-A0664-03-TiO2-45_90ul-S4data-Gluc-4miss.raw	1	NT=label free sample;AC=MS:1002038	NT=glutamyl endopeptidase;AC=MS:1001917	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	10 ppm	0.5 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CAL-27
