source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[pooled sample]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[synthetic peptide]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[MS1 scan range]	comment[tool metadata]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
pooled1	Mus musculus	Brain	3M	1	not applicable	not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls		HF1_022616	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF1_022616.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	5 ppm	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
pooled2	Mus musculus	Brain	3M	1	not applicable	not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls		HF1_022617	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF1_022617.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	5 ppm	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
pooled3	Mus musculus	Brain	3M	1	not applicable	not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls		HF1_022618	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF1_022618.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	5 ppm	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
Mix34	Mus musculus	Brain	3M	1	not applicable	not available	normal	M		CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	CT=mixture;CN = iRT mixture;CV=Biognosys;CS=https://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	synthetic	HF1_022620a	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF1_022620a.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	5 ppm	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
H3WT-188	Mus musculus	Brain	3M	1	not applicable	not available	normal	M					HF2_017315	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF2_017315.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1		1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
H3WT-104	Mus musculus	Brain	3M	2	not applicable	not available	normal	M					HF2_017316	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF2_017316.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1		1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
H3WT-101	Mus musculus	Brain	3M	3	not applicable	not available	normal	M					HF2_017321	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF2_017321.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1		1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
H3WT-x	Mus musculus	Brain	3M	4	not applicable	not available	normal	M					HF2_017322	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF2_017322.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1		1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
H3-mix5	Mus musculus	Brain	3M	1	not applicable	not available	normal	M					HF2_017327	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	HF2_017327.raw	beam-type collision-induced dissociation	1	20 ppm	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1		1	NT=Data-dependent acquisition;AC=PRIDE:0000627	300m/z - 1300m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
MD_sample1	Mus musculus	Brain	3M	1	not applicable	not available	normal	M					20230331-0417_ECLIP_1004936_ONJ_TR_NeoHILIC_HisCro_sample1_all	proteomic profiling by mass spectrometry	NT=V8-E;AC=MS:1001315	20230331-0417_ECLIP_1004936_ONJ_TR_NeoHILIC_HisCro_sample1_all.raw	electron transfer dissociation	1	20 ppm	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	NT=Acetyl;AC=UNIMOD:1	1.03 Da	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	500m/z - 1000m/z	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
