source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F1_Agilent6_20160920_FL_mito_3_DR_SCX_f35	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_4_DR_SCX_f38	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_4_DR_SCX_f38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_4_DR_SCX_f38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_4_SCX_f36	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_4_SCX_f36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_4_SCX_f36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_4_SCX_f39	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_4_SCX_f39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_4_SCX_f39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_3_SCX_f37	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_3_SCX_f37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_3_SCX_f37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_4_SCX_f42	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_4_SCX_f42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_4_SCX_f42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_3_DR_SCX_f38	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_3_DR_SCX_f30	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_3_DR_SCX_f42	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_3_DR_SCX_f42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
F1_Agilent6_20160920_FL_mito_4_SCX_f24	Mus musculus	C57BL/6N	Heart	adult	normal	7W-9W	male	1	F1_Agilent6_20160920_FL_mito_4_SCX_f24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	F1_Agilent6_20160920_FL_mito_4_SCX_f24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Heart
