source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment response]
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_01	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	TB_Pool2_Baseline_01_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_02	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	TB_Pool2_Baseline_02_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_03	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	3	TB_Pool2_Baseline_03_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_04	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	4	TB_Pool2_Baseline_04_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_05	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	5	TB_Pool2_Baseline_05_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_06	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	6	TB_Pool2_Baseline_06_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_07	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	7	TB_Pool2_Baseline_07_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_08	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	8	TB_Pool2_Baseline_08_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_09	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	9	TB_Pool2_Baseline_09_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
TB_Pool2_Baseline	Homo sapiens	blood serum	pulmonary tuberculosis	tissue	adult	not available	not available	pooled	TB_Pool2_Baseline_10	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	10	TB_Pool2_Baseline_10_2_9Jan14_Samwise_13-07-28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	baseline
