source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Oryza sativa	not available	not available	1	not available	not available	not applicable	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	2018-06-22_F7_CP_PELLET_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Candida albicans	not available	not available	1	not available	not available	not applicable	not available	not available	Assay2	proteomic profiling by mass spectrometry	2	2018-06-22_F4_CP_PELLET_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Triticum aestivum	not available	not available	1	not available	not available	not applicable	not available	not available	Assay3	proteomic profiling by mass spectrometry	3	2018-02-28_F1_CP_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	not available	not available	1	not available	not available	not applicable	not available	not available	Assay4	proteomic profiling by mass spectrometry	4	2018-06-22_F6_CP_PELLET_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Oryza sativa	not available	not available	2	not available	not available	not applicable	not available	not available	Assay5	proteomic profiling by mass spectrometry	5	2018-05-04_F2_WWTP_PELLET_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Candida albicans	not available	not available	2	not available	not available	not applicable	not available	not available	Assay6	proteomic profiling by mass spectrometry	6	2018-05-11_F2_WWTP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Triticum aestivum	not available	not available	2	not available	not available	not applicable	not available	not available	Assay7	proteomic profiling by mass spectrometry	7	2018-05-11_F1_WWTP_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	not available	not available	2	not available	not available	not applicable	not available	not available	Assay8	proteomic profiling by mass spectrometry	8	2018-06-22_F6_CP_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Oryza sativa	not available	not available	3	not available	not available	not applicable	not available	not available	Assay9	proteomic profiling by mass spectrometry	9	2018-05-25_F3_AH_2_1DAY_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Candida albicans	not available	not available	3	not available	not available	not applicable	not available	not available	Assay10	proteomic profiling by mass spectrometry	10	2018-05-25_F3_CP_PELLET_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample11	Triticum aestivum	not available	not available	3	not available	not available	not applicable	not available	not available	Assay11	proteomic profiling by mass spectrometry	11	2018-02-28_F1_CP_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample12	Escherichia coli	not available	not available	3	not available	not available	not applicable	not available	not available	Assay12	proteomic profiling by mass spectrometry	12	2018-02-28_F1_CP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample13	Oryza sativa	not available	not available	4	not available	not available	not applicable	not available	not available	Assay13	proteomic profiling by mass spectrometry	13	2018-02-12_Filtri_Spore_Subtilis_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample14	Candida albicans	not available	not available	4	not available	not available	not applicable	not available	not available	Assay14	proteomic profiling by mass spectrometry	14	2018-05-25_F2_CP_PELLET_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample15	Triticum aestivum	not available	not available	4	not available	not available	not applicable	not available	not available	Assay15	proteomic profiling by mass spectrometry	15	2018-05-25_F3_CP_PELLET_01.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample16	Escherichia coli	not available	not available	4	not available	not available	not applicable	not available	not available	Assay16	proteomic profiling by mass spectrometry	16	2018-02-19_Filtri_Spore_Subtilis_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	16	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample17	Oryza sativa	not available	not available	5	not available	not available	not applicable	not available	not available	Assay17	proteomic profiling by mass spectrometry	17	2018-06-22_F4_CP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	17	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample18	Candida albicans	not available	not available	5	not available	not available	not applicable	not available	not available	Assay18	proteomic profiling by mass spectrometry	18	2018-06-22_F5_CP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	18	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample19	Triticum aestivum	not available	not available	5	not available	not available	not applicable	not available	not available	Assay19	proteomic profiling by mass spectrometry	19	2018-06-22_F4_CP_PELLET_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	19	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample20	Escherichia coli	not available	not available	5	not available	not available	not applicable	not available	not available	Assay20	proteomic profiling by mass spectrometry	20	2018-05-25_F2_CP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	20	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample21	Oryza sativa	not available	not available	6	not available	not available	not applicable	not available	not available	Assay21	proteomic profiling by mass spectrometry	21	2018-06-22_F6_CP_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	21	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample22	Candida albicans	not available	not available	6	not available	not available	not applicable	not available	not available	Assay22	proteomic profiling by mass spectrometry	22	2018-06-22_F5_CP_PELLET_03.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	22	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Sample23	Triticum aestivum	not available	not available	6	not available	not available	not applicable	not available	not available	Assay23	proteomic profiling by mass spectrometry	23	2018-05-04_F1_WWTP_PELLET_02.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	23	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
