source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b1370p10_S14_MV4_IPA3_2h_2uM_1	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p10_S14_MV4_IPA3_2h_2uM_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p10_S14_MV4_IPA3_2h_2uM_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p10_S14_MV4_IPA3_2h_2uM_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S18_T0741_PF_1000nM_R	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S18_T0741_PF_1000nM_R	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S18_T0741_PF_1000nM_R.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S18_T0741_PF_1000nM_R.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p17_S17_Tot_prot_MV4_FRAX_24h_100nM_2	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	2	b1370p17_S17_Tot_prot_MV4_FRAX_24h_100nM_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p17_S17_Tot_prot_MV4_FRAX_24h_100nM_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p17_S17_Tot_prot_MV4_FRAX_24h_100nM_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p12_S12_Fuji_PF_24h_1000nM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p12_S12_Fuji_PF_24h_1000nM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p12_S12_Fuji_PF_24h_1000nM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p12_S12_Fuji_PF_24h_1000nM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p14_S22_MV4_Frax_2h_0nM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p14_S22_MV4_Frax_2h_0nM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p14_S22_MV4_Frax_2h_0nM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p14_S22_MV4_Frax_2h_0nM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S27_R3762_PF_1000nM_R	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S27_R3762_PF_1000nM_R	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S27_R3762_PF_1000nM_R.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S27_R3762_PF_1000nM_R.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p13_S20_Tot_prot_P31_PF_24h_100nM_3	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	3	b1370p13_S20_Tot_prot_P31_PF_24h_100nM_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p13_S20_Tot_prot_P31_PF_24h_100nM_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p13_S20_Tot_prot_P31_PF_24h_100nM_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p13_S24_Tot_Prot_P31_PF_24h_1000nM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p13_S24_Tot_Prot_P31_PF_24h_1000nM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p13_S24_Tot_Prot_P31_PF_24h_1000nM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p13_S24_Tot_Prot_P31_PF_24h_1000nM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S38_R9318_PF_0nM_R	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S38_R9318_PF_0nM_R	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S38_R9318_PF_0nM_R.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S38_R9318_PF_0nM_R.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p12_S23_MV4_PF_24h_100nM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p12_S23_MV4_PF_24h_100nM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p12_S23_MV4_PF_24h_100nM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p12_S23_MV4_PF_24h_100nM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
