source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE0257_CorinneL_140724_5b_140731080943	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_5b_140731080943	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_5b_140731080943.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_5b_140731080943.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_5a_140731050108	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_5a_140731050108	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_5a_140731050108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_5a_140731050108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F4	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	4	1	QE0198_Corinne100414_HILICIMAC_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_4b_140731005758	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_4b_140731005758	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_4b_140731005758.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_4b_140731005758.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_6b_140731152205	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_6b_140731152205	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_6b_140731152205.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_6b_140731152205.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_7_140530233503	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_A_7_140530233503	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_7_140530233503.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_7_140530233503.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_4_140601230400	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_4_140601230400	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_4_140601230400.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_4_140601230400.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_3	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	3	QE0218_CLochmatter_210514_140521CL_A_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_2b_140730103300	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_2b_140730103300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_2b_140730103300.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_2b_140730103300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_6_140531215122	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_6_140531215122	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_6_140531215122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_6_140531215122.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
