source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
A375_DMSO_1	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_DMSO_1_TMT127N_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT127N	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO_1
A375_DMSO_2	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_DMSO_2_TMT127C_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT127C	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO_2
A375_DMSO_3	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_DMSO_3_TMT128N_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT128N	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO_3
A375_100nM_1	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_100nM_1_TMT128C_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT128C	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM_1
A375_100nM_2	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_100nM_2_TMT129N_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT129N	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM_2
A375_100nM_3	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_100nM_3_TMT129C_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT129C	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM_3
A375_1uM_1	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_1uM_1_TMT130N_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130N	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM_1
A375_1uM_2	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	2	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_1uM_2_TMT130C_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT130C	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM_2
A375_1uM_3	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	3	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_1uM_3_TMT131_frac1	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_1.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT131	1	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM_3
A375_DMSO_1	Homo sapiens	skin	melanoma	melanocyte	not available	not available	A-375	not available	cell	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	A375_DMSO_1_TMT127N_frac2	proteomic profiling by mass spectrometry	A375_Binimetinib_Exploris_2.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	TMT127N	2	NT=HCD;AC=MS:1000422	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable;PP=Anywhere	10 ppm	0.02 Da	350m/z	1200m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO_1
