source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[pooled sample]	characteristics[sample type]	characteristics[depletion]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[antibody enrichment]
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_Filter	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	1	1	F120180713_KP_THP1_BB72_Filter.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	1	2	F120180713_KP_THP1_BB72_P1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P10new	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	10	1	F120180713_KP_THP1_BB72_P10new.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	2	1	F120180713_KP_THP1_BB72_P2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	3	1	F120180713_KP_THP1_BB72_P3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	4	1	F120180713_KP_THP1_BB72_P4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	5	1	F120180713_KP_THP1_BB72_P5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	6	1	F120180713_KP_THP1_BB72_P6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	7	1	F120180713_KP_THP1_BB72_P7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
THP-1	Homo sapiens	blood	acute monocytic leukemia	monocyte	cell line	THP-1	CVCL_0006	THP-1	peripheral blood	infant	1Y	male	East Asian ancestry	not available	not available	not available	not pooled	study sample	no depletion	MHC class I protein complex	immunoaffinity purification	HLA-A*02:01;HLA-B*15:11;HLA-C*03:03	not available	BB7.2	1	F120180713_KP_THP1_BB72_P8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=unspecific cleavage;AC=MS:1001956	not available	10 ppm	0.02 Da	8	1	F120180713_KP_THP1_BB72_P8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	manual curation	BB7.2
