source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[strain/breed]	characteristics[time]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[ms2 mass analyzer]	comment[number of missed cleavages]	comment[separation]	comment[collision energy]	factor value[timepoint]	factor value[carbon source]
Sample 1	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	1	MM36	2 day	long-chain alkanes	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28857_Ap_IonOpt_PRC-6150_shotgun-1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28857_Ap_IonOpt_PRC-6150_shotgun-1.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	2 day	long-chain alkanes
Sample 2	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	2	MM36	2 day	long-chain alkanes	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28859_Ap_IonOpt_PRC-6150_shotgun-2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28859_Ap_IonOpt_PRC-6150_shotgun-2.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	2 day	long-chain alkanes
Sample 3	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	3	MM36	2 day	long-chain alkanes	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28861_Ap_IonOpt_PRC-6150_shotgun-3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28861_Ap_IonOpt_PRC-6150_shotgun-3.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	2 day	long-chain alkanes
Sample 4	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	4	MM36	3 day	hexadecane	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28863_Ap_IonOpt_PRC-6150_shotgun-4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28863_Ap_IonOpt_PRC-6150_shotgun-4.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	hexadecane
Sample 5	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	5	MM36	3 day	hexadecane	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28865_Ap_IonOpt_PRC-6150_shotgun-5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28865_Ap_IonOpt_PRC-6150_shotgun-5.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	hexadecane
Sample 6	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	6	MM36	3 day	hexadecane	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28867_Ap_IonOpt_PRC-6150_shotgun-6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28867_Ap_IonOpt_PRC-6150_shotgun-6.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	hexadecane
Sample 7	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	7	MM36	3 day	long-chain alkanes	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28869_Ap_IonOpt_PRC-6150_shotgun-7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28869_Ap_IonOpt_PRC-6150_shotgun-7.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	long-chain alkanes
Sample 8	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	8	MM36	3 day	long-chain alkanes	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28871_Ap_IonOpt_PRC-6150_shotgun-8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28871_Ap_IonOpt_PRC-6150_shotgun-8.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	long-chain alkanes
Sample 9	Aspergillus parasiticus	secretome	not applicable	not applicable	not applicable	9	MM36	3 day	long-chain alkanes	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Ammonia-loss;TA=C;AC=UNIMOD:385;PP=Any N-term;MT=Variable	AC=MS:1000422;NT=HCD	15 ppm	0.02 Da	1	1	B28873_Ap_IonOpt_PRC-6150_shotgun-9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD058271/B28873_Ap_IonOpt_PRC-6150_shotgun-9.raw	AC=MS:1000484; NT=Orbitrap	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	28 NCE	3 day	long-chain alkanes
