source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120126_23_Z34_N	20120126_23_Z34_N	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120126_23_Z34_N	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120126_23_Z34_N.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120126_23_Z34_N_F123069.dat	20120126_23_Z34_N_F123069.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120126_23_Z34_N_F123069.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120126_23_Z34_N_F123069.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_01_fetuin_40fmol	20120330_01_fetuin_40fmol	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_01_fetuin_40fmol	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_01_fetuin_40fmol.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_01_fetuin_40fmol_F121065.dat	20120330_01_fetuin_40fmol_F121065.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_01_fetuin_40fmol_F121065.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_01_fetuin_40fmol_F121065.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_02_fetuin_400amol_1	20120330_02_fetuin_400amol_1	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_02_fetuin_400amol_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_02_fetuin_400amol_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_02_fetuin_400amol_1_F121067.dat	20120330_02_fetuin_400amol_1_F121067.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_02_fetuin_400amol_1_F121067.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_02_fetuin_400amol_1_F121067.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_03_Z41_Greenland_calc	20120330_03_Z41_Greenland_calc	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_03_Z41_Greenland_calc	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_03_Z41_Greenland_calc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_04_Z35_Greenland_calc	20120330_04_Z35_Greenland_calc	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_04_Z35_Greenland_calc	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_04_Z35_Greenland_calc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_04_Z35_Greenland_calc_F121070.dat	20120330_04_Z35_Greenland_calc_F121070.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_04_Z35_Greenland_calc_F121070.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_04_Z35_Greenland_calc_F121070.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
20120330_05_Z36_Greenland_calc	20120330_05_Z36_Greenland_calc	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_northern_Europe	Dental plaque	Dental plaque	not available	not available	not available	not available	1	20120330_05_Z36_Greenland_calc	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20120330_05_Z36_Greenland_calc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
