source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Escherichia_coli_1	Escherichia coli	NT=whole cell	not applicable	1	not available	Escherichia_coli_1_proteomics	proteomic profiling by mass spectrometry	1	51001_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_2	Escherichia coli	NT=whole cell	not applicable	2	not available	Escherichia_coli_2_proteomics	proteomic profiling by mass spectrometry	1	50990_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_3	Escherichia coli	NT=whole cell	not applicable	3	not available	Escherichia_coli_3_proteomics	proteomic profiling by mass spectrometry	1	50996_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_4	Escherichia coli	NT=whole cell	not applicable	4	not available	Escherichia_coli_4_proteomics	proteomic profiling by mass spectrometry	1	51017_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_5	Escherichia coli	NT=whole cell	not applicable	5	not available	Escherichia_coli_5_proteomics	proteomic profiling by mass spectrometry	1	51029_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_6	Escherichia coli	NT=whole cell	not applicable	6	not available	Escherichia_coli_6_proteomics	proteomic profiling by mass spectrometry	1	51023_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_7	Escherichia coli	NT=whole cell	not applicable	7	not available	Escherichia_coli_7_proteomics	proteomic profiling by mass spectrometry	1	51009_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_8	Escherichia coli	NT=whole cell	not applicable	8	not available	Escherichia_coli_8_proteomics	proteomic profiling by mass spectrometry	1	51020_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_9	Escherichia coli	NT=whole cell	not applicable	9	not available	Escherichia_coli_9_proteomics	proteomic profiling by mass spectrometry	1	50977_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_10	Escherichia coli	NT=whole cell	not applicable	10	not available	Escherichia_coli_10_proteomics	proteomic profiling by mass spectrometry	1	51021_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=Higher Energy Collisional Dissociation (HCD)	4.5 ppm	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
