source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20200318_Mahler_Luci_Calb_Exp3_11_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_11_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_11_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_11b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_11b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_11b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_12_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_12_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_12_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_12_sec_DDAv2	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_12_sec_DDAv2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_12_sec_DDAv2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_12b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_12b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_12b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_12b_cw_DDA	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_12b_cw_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_12b_cw_DDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_13_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_13_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_13_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_13b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_13b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_13b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_21_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_21_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_21_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_21b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_21b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_21b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_22_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_22_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_22_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_22b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_22b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_22b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_22b_cw_DDA	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_22b_cw_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_22b_cw_DDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_23_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_23_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_23_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_23_sec_DDA	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_23_sec_DDA	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_23_sec_DDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_23b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_23b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_23b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_31_sec	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_31_sec	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_31_sec.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
20200318_Mahler_Luci_Calb_Exp3_31b_cw	Candida albicans	not available	not available	1	20200318_Mahler_Luci_Calb_Exp3_31b_cw	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20200318_Mahler_Luci_Calb_Exp3_31b_cw.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0
