source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[genetic modification]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[enrichment process]	characteristics[antibody enrichment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]	factor value[antibody enrichment]
SAE_HA-RAB3A-T86A_noLRRK2_20170620_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3A-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 138	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-22	20170620_QEp4_MaSt_SA_293_HA-Rab3a_TA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3A-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3A-T86A_noLRRK2_20170620_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3A-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 139	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-22	20170620_QEp4_MaSt_SA_293_HA-Rab3a_TA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3A-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3A-T86E_noLRRK2_20170620_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3A-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 140	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-22	20170620_QEp4_MaSt_SA_293_HA-Rab3a_TE_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3A-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3A-T86E_noLRRK2_20170620_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3A-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 141	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-22	20170620_QEp4_MaSt_SA_293_HA-Rab3a_TE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3A-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3A-T86E_noLRRK2_20170620_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3A-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 142	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-22	20170620_QEp4_MaSt_SA_293_HA-Rab3a_TE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3A-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86A_noLRRK2_20170630_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 143	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86A_noLRRK2_20170630_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 144	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86A_noLRRK2_20170630_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 145	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86E_noLRRK2_20170630_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 146	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TE_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86E_noLRRK2_20170630_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 147	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3B-T86E_noLRRK2_20170630_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3B-T86E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 148	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3b_TE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3B-T86E overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94A_noLRRK2_20170630_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 149	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94A overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94A_noLRRK2_20170630_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 150	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94A overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94A_noLRRK2_20170630_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 151	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-06-30	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94A overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94E_noLRRK2_20170630_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 152	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-07-01	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TE_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94E overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94E_noLRRK2_20170630_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 153	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-07-01	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94E overexpression	untreated	anti-HA resin
SAE_HA-RAB3C-T94E_noLRRK2_20170630_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3C-T94E overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	3	run 154	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-07-01	20170630_QEp8_MaSt_SA_293_HA-Rab3c_TE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3C-T94E overexpression	untreated	anti-HA resin
SAE_HA-RAB3D-T86A_noLRRK2_20170630_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3D-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	1	run 155	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-07-01	20170630_QEp8_MaSt_SA_293_HA-Rab3d_TA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3D-T86A overexpression	untreated	anti-HA resin
SAE_HA-RAB3D-T86A_noLRRK2_20170630_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	HA-RAB3D-T86A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-HA resin	not synthetic	not applicable	not pooled	2	run 156	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-07-01	20170630_QEp8_MaSt_SA_293_HA-Rab3d_TA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	HA-RAB3D-T86A overexpression	untreated	anti-HA resin
