source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[material type]	characteristics[genotype]	characteristics[genetic modification]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[enrichment process]	characteristics[antibody enrichment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[antibody enrichment]
MEF_endogenous-RAB8A_LRRK2-R1441C_20171007_r1	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_IP-Rab8a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-Rab8A antibody
MEF_endogenous-RAB8A_LRRK2-R1441C_20171007_r2	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_IP-Rab8a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-Rab8A antibody
MEF_endogenous-RAB8A_LRRK2-R1441C_20171007_r3	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_IP-Rab8a_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-Rab8A antibody
MEF_endogenous-RAB8A_LRRK2-R1441C_MLi2_20171007_r1	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	MLi-2	MLI-2	200 nM	2 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_MLi2_IP-Rab8a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	MLi-2	anti-Rab8A antibody
MEF_endogenous-RAB8A_LRRK2-R1441C_MLi2_20171007_r2	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	MLi-2	MLI-2	200 nM	2 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_MLi2_IP-Rab8a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	MLi-2	anti-Rab8A antibody
MEF_endogenous-RAB8A_LRRK2-R1441C_MLi2_20171007_r3	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	MLi-2	MLI-2	200 nM	2 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-10-08	20171007_QX7_MaSt_SA_MEFs_R1441C_MLi2_IP-Rab8a_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	MLi-2	anti-Rab8A antibody
PRAB_endogenous-LRRK2-phosphorylated-Rab-GTPases_LRRK2-R1441C_20170720_r1	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	anti-phospho-Rab8 antibody	not synthetic	not applicable	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-07-21	RS_MEFs_LRRK2_RC_pRabIP_-MLi2_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-phospho-Rab8 antibody
PRAB_endogenous-LRRK2-phosphorylated-Rab-GTPases_LRRK2-R1441C_20170720_r2	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	anti-phospho-Rab8 antibody	not synthetic	not applicable	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-07-21	RS_MEFs_LRRK2_RC_pRabIP_-MLi2_Rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-phospho-Rab8 antibody
PRAB_endogenous-LRRK2-phosphorylated-Rab-GTPases_LRRK2-R1441C_20170720_r3	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	untreated	not applicable	not applicable	not applicable	enrichment of phosphorylated protein	anti-phospho-Rab8 antibody	not synthetic	not applicable	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-07-21	RS_MEFs_LRRK2_RC_pRabIP_-MLi2_Rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	untreated	anti-phospho-Rab8 antibody
PRAB_endogenous-LRRK2-phosphorylated-Rab-GTPases_LRRK2-R1441C_MLi2_20170720_r1	Mus musculus	embryo	fibroblast	normal	embryo stage	C57BL/6J	not available	cell line	LRRK2 R1441C homozygous knock-in	gene knock in	MLi-2	MLI-2	100 nM	2 hour	enrichment of phosphorylated protein	anti-phospho-Rab8 antibody	not synthetic	not applicable	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not available	not available	not applicable	1	1	2017-07-21	RS_MEFs_LRRK2_RC_pRabIP_MLi2_Rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	MLi-2	anti-phospho-Rab8 antibody
