source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR5110722_MA_EDG_smallSCX_9d_fr10	Homo sapiens	Cell culture	not applicable	not available	1	OR5110722_MA_EDG_smallSCX_9d_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	10	1	OR5110722_MA_EDG_smallSCX_9d_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_MA_EDG_smallSCX_9d_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111013_EDG_11EDEG010_sSCX_fr18_2	Homo sapiens	Cell culture	not applicable	not available	2	OR5_111013_EDG_11EDEG010_sSCX_fr18_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_111013_EDG_11EDEG010_sSCX_fr18_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5_111013_EDG_11EDEG010_sSCX_fr18_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5110722_EDG_smallSCX_3d_fr21_2	Homo sapiens	Cell culture	not applicable	not available	2	OR5110722_EDG_smallSCX_3d_fr21_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5110722_EDG_smallSCX_3d_fr21_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_EDG_smallSCX_3d_fr21_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_110317_EDG_11EDEG004_9d_sSCX_fr22	Homo sapiens	Cell culture	not applicable	not available	1	OR5_110317_EDG_11EDEG004_9d_sSCX_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	22	1	OR5_110317_EDG_11EDEG004_9d_sSCX_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5_110317_EDG_11EDEG004_9d_sSCX_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5110722_EDG_smallSCX_9d_fr20	Homo sapiens	Cell culture	not applicable	not available	1	OR5110722_EDG_smallSCX_9d_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	20	1	OR5110722_EDG_smallSCX_9d_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_EDG_smallSCX_9d_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5110722_MA_EDG_smallSCX_9d_fr15	Homo sapiens	Cell culture	not applicable	not available	1	OR5110722_MA_EDG_smallSCX_9d_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	15	1	OR5110722_MA_EDG_smallSCX_9d_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_MA_EDG_smallSCX_9d_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111013_EDG_11EDEG010_sSCX_fr18	Homo sapiens	Cell culture	not applicable	not available	1	OR5_111013_EDG_11EDEG010_sSCX_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	18	1	OR5_111013_EDG_11EDEG010_sSCX_fr18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5_111013_EDG_11EDEG010_sSCX_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5110722_EDG_smallSCX_3d_fr15	Homo sapiens	Cell culture	not applicable	not available	1	OR5110722_EDG_smallSCX_3d_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	15	1	OR5110722_EDG_smallSCX_3d_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_EDG_smallSCX_3d_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_110317_EDG_11EDEG004_9d_sSCX_fr27	Homo sapiens	Cell culture	not applicable	not available	1	OR5_110317_EDG_11EDEG004_9d_sSCX_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	27	1	OR5_110317_EDG_11EDEG004_9d_sSCX_fr27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5_110317_EDG_11EDEG004_9d_sSCX_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5110722_MA_EDG_smallSCX_9d_fr25	Homo sapiens	Cell culture	not applicable	not available	1	OR5110722_MA_EDG_smallSCX_9d_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	25	1	OR5110722_MA_EDG_smallSCX_9d_fr25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001068/OR5110722_MA_EDG_smallSCX_9d_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
