source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
10mM_FT_1	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	1	10mM_FT_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	10mM_FT_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/10mM_FT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
PC9_elute_Fe-3	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	3	PC9_elute_Fe-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	PC9_elute_Fe-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/PC9_elute_Fe-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
IR_FT_2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	IR_FT_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	IR_FT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/IR_FT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
IR_zip_3	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	3	IR_zip_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	IR_zip_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/IR_zip_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
PC9_elute_Fe-1	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	1	PC9_elute_Fe-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	PC9_elute_Fe-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/PC9_elute_Fe-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
20mM_FT_3	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	3	20mM_FT_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	20mM_FT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/20mM_FT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
20mM_FT_2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	20mM_FT_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	20mM_FT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/20mM_FT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
20mM_zip_3	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	3	20mM_zip_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	20mM_zip_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/20mM_zip_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
PC9_elute_Fe-2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	PC9_elute_Fe-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	PC9_elute_Fe-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/PC9_elute_Fe-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
PC9IR_FT-2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	PC9IR_FT-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	PC9IR_FT-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/PC9IR_FT-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
10mM_FT_2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	10mM_FT_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	10mM_FT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/10mM_FT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
PC9IR_elute_Fe-2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	PC9IR_elute_Fe-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	PC9IR_elute_Fe-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/PC9IR_elute_Fe-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
IR_FT_3	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	3	IR_FT_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	IR_FT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/IR_FT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
IR_zip_2	homo sapiens	kidney	HEK293	lung cancer	enrichment of phosphorylated protein	HEK293	CVCL_0045	HEK293	2	IR_zip_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	IR_zip_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD000861/IR_zip_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
