source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin01	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	2	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min03	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130327_BoSo_IsraelCollab_Phospho_Trypsin_spore01	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_spore01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_spore01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130327_BoSo_IsraelCollab_Phospho_Trypsin_spore01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin02	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130327_BoSo_IsraelCollab_Phospho_Trypsin_tenmin02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min01	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130327_BoSo_IsraelCollab_Phospho_Trypsin_30min01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_03	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	3	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_02	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	2	20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_10min_02	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	2	20130406_BoSo_IsraelCollab_Proteome_trypsin_10min_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_10min_02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130406_BoSo_IsraelCollab_Proteome_trypsin_10min_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_03	bacillus subtilis	not available	not applicable	not available	enrichment of phosphorylated protein	3	20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002559/20130406_BoSo_IsraelCollab_Proteome_trypsin_30min_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
